url,content
http://www.budejie.com/detail-29857978.html, 一天同学聚会，都说自己工资有多高多高，问道我时我弱弱说：少的可怜，就3000块。大家都笑话我说：确实少的可怜。最后我补了句：老婆发的。全场瞬间沉默，然后惊呼：这才叫土豪啊。。。
http://www.budejie.com/detail-29854784.html, 我们这期学驾驶的都是年轻人，为了方便与教练管理和联系，建了一个群！今天是个大喜的日子，全体学员都通过了科目二，为了庆祝，群主做的第一件事就是将教练踢出群！
http://www.budejie.com/detail-29858245.html, 分手那晚，她喝多了，男友抱着送她上车，最后说了句“珍重”。
http://www.budejie.com/detail-29895116.html, 大海真的太恐怖了，当年泰坦尼克号出海的时候，我喉咙都喊哑了，不让他们出海。非但不听，居然还把我从电影院赶了出来。
http://www.budejie.com/detail-29947140.html,猫：你管管你的狗子吧！....
http://www.budejie.com/detail-29946024.html,陪女朋友拍照的你...
http://www.budejie.com/detail-29900034.html,回头一看，傻了，一脸懵逼~
http://www.budejie.com/detail-29836478.html,晚上看完鬼.片洗漱的你
http://www.budejie.com/detail-29945913.html,哇。。硬核玩家！
http://www.budejie.com/detail-29835879.html,一位潜水客在海中下潜时，偶遇两周前曾经一起玩过的海豹，双方竟然都认出彼此，海豹还主动求抱抱，抱住就不松手，一定是特别的缘分
http://www.budejie.com/detail-29855557.html, 不明白了电视里，古代那些大侠一出去，就是两斤酱牛肉一壶好酒，每天最少三顿...
http://www.budejie.com/detail-29947704.html,挺会玩啊！
http://www.budejie.com/detail-29875663.html, 老两口抱着孙子在街上逛，迎面碰上一中年妇女：真可爱，多大了？老太太抢先回答：再过两个月就六十五啦。
http://www.budejie.com/detail-29947733.html,鸟：这次玩大了，谁来救救我
http://www.budejie.com/detail-29835534.html,一定会有人助你渡过难关
http://www.budejie.com/detail-29839154.html,晚上应酬回家，却发现儿子不见了，找到孩子那一刻父亲笑了
http://www.budejie.com/detail-29869436.html,养狗千日，用狗一时
http://www.budejie.com/detail-29938021.html,养喵百日，用喵一时
http://www.budejie.com/detail-29942255.html,刚起床的你
http://www.budejie.com/detail-29836376.html, 说实话，最怕灯厂的车，刹车灯晃眼，远光灯刺眼。有次一辆A8跟我后头，那远光灯照得我开不了车，我停车把他截停，一问，人家开的近光，俩人研究了半天，那大哥突然激动的说，“兄dei，我知道了，是你的布加迪底盘太低了。”
http://www.budejie.com/detail-30024853.html, 在餐馆吃饭，看见对面不远处有一美女，我喜欢的类型，正在想着怎么搭讪，这时美女已经吃完起身往外走了，可是我还没想好，竟然不知所措了，正当美女走到我身边时，我竟然不由自主的伸出腿，把她绊倒了，倒了。
http://www.budejie.com/detail-30024644.html, 下午做头发，因为我上午才洗过头，理发师说不用洗了，头发打湿点就行，然后拿一个喷壶往我头发上喷水，我看着喷壶，心里有种说不上来的奇怪感觉。理发师往我头上喷完水，转身用喷壶浇起了花……
http://www.budejie.com/detail-29962796.html,当我真正开始爱自己，我才认识到，所有的痛苦和情感的折磨，都只是在警告我：我的生活违背了自己的本心。——查理·卓别林
http://www.budejie.com/detail-29962165.html,想听睡前故事
http://www.budejie.com/detail-29963017.html,偷听到男孩子都讨厌抽烟的女孩子，是吗？
http://www.budejie.com/detail-29961244.html, 婆婆送了本菜谱给媳妇，意图让媳妇学会做菜。结果媳妇很腼腆跟婆婆说：妈您太客气了，您每天那么累，还让我点菜做给我吃，这不太合适呀！
http://www.budejie.com/detail-29961388.html,真的可以把鸡蛋放啤酒瓶里
http://www.budejie.com/detail-29907596.html,灵魂木偶师
http://www.budejie.com/detail-29919562.html,安全感需要自给自足。
http://www.budejie.com/detail-29960768.html,哇哈哈哈哈
